"Sliders", "Slajdery"
"Manage Groups", "Zarządzaj Grupami"
"Manage Sliders", "Zarządzaj Slajdami"
"Add New Slide Item", "Dodaj nowy slajd"
"Slides Group","Grupa Slajdów"
"Add New Slide Group","Dodaj Nową Grupę Slajdów"
"Id","Id"
"Image", "Obrazek"
"Group","Grupa"
"Status","Status"
"Display From","Wyświetl Od"
"Display To","Wyświetl Do"
"Sort Order","Porządek Sortowania"
"Edit Slide Item","Edytuj Slajd"
"Slide Items","Lista slajdów"
"Delete slide item","Usuń slajd"
"Add slide item","Dodaj slajd"
"Slide Item information","Informacje o Slajdzie"
"Title","Tytuł"
"Link url","Link url"
"Add New Image","Dodaj Nowy Obrazek"
"Name","Nazwa"
"Save slides group","Zapisz grupę slajdów"
"Delete slides group","Usuń grupę slajdów"
"Add slides group","Dodaj grupę slajdów"
"Slide Group information"","Infomacje o Grupie Slajdów"
"From", "Od"
"To","Do"
"Edit Slides Group '%s'","Edytuj Grupę Slajdów '%s'"
"Slide Group information","Informacje o grupie Slajdów"
"Reset Filter","Resetuj Filtr"
"Back","Wróć"
"Reset","Resetuj"
"Search","Szukaj"
"You can make choice...","Możesz wybrać grupę..."
"The Slides Group has been saved.","Grupa Slajdów została zapisana"
"This Slides Group no longer exists.","Żądana Grupa Slajdów nie istnieje"
"The Slides Group '%s' has been deleted.","Grupa Slajdów '%s' została usunięta"
"Unable to find a Slides Group to delete.","Nie znaleziono żądanej Grupy Slajdów do usunięcia"
"This Slides Item no longer exists.","Żądany Slajd nie istnieje"
"The Slide Item has been deleted.","Slajd został usunięty"
"Unable to find a Slide Item to delete.","Nie znaleziono żądanego slajdu do usunięcia"
"Slide Item was successfully saved.","Slajd został zapisany"
"Error occurred during data saving.","Podczas zapisywania wystapił błąd"

